,Conversation,Sentiment,cleaned,Length
32,বর্ষাকাল শেষ হবে,positive,বর্ষাকাল শেষ,2
33,আমি নিশ্চিত তারা তাকে নিতে আসবে,positive,নিশ্চিত আসবে,2
34,আমরা সময়গুলি ভালভাবেই উপভোগ করেছি,positive,সময়গুলি ভালভাবেই উপভোগ করেছি,4
35,আমি দুঃখিত আমি আপনাকে ভয় পাইয়ে দিয়েছি,negative,দুঃখিত ভয় পাইয়ে দিয়েছি,4
36,আমি দুঃখিত,negative,দুঃখিত,1
37,এটি সত্যিই একটি দীর্ঘ গল্প ,positive,সত্যিই দীর্ঘ গল্প,3
38,আমি তাদের সম্পর্কে উদ্বিগ্ন,negative,সম্পর্কে উদ্বিগ্ন,2
39,আমি সত্যিই আপনার সাথে কথা বলছি,positive,সত্যিই বলছি,2
40,আমাকে আপনার সম্পর্কে বলেছে,positive,সম্পর্কে বলেছে,2
41,শুভ জন্মদিন ,positive,শুভ জন্মদিন,2
42,কি দারুন!,positive,দারুন,1
43,আমি আজ এটি উদযাপন করতে চাই,positive,উদযাপন চাই,2
44,আমার একটু ভয় হচ্ছে,negative,একটু ভয়,2
45,আমি তোমায় ভালোবাসি,positive,তোমায় ভালোবাসি,2
46,আমাকে বিদায় জানাতে হবে,negative,বিদায় জানাতে,2
47,"আমি দুঃখিত, মা",negative,দুঃখিত,1
48,"তুমি মারা গেছো এটা আমার দোষ, তাই না?",negative,মারা গেছো দোষ,3
49,তুমি অনেক বোকা,positive,বোকা,1
50,তুমি আমাদের সুখ এনে দিয়েছো,positive,সুখ এনে দিয়েছো,3
51,তুমি আমাকে খুব খুশি করেছো,positive,খুশি করেছো,2
52,"বড় হয়ে ওঠো চমৎকার মানুষ হিসেবে, ঠিক আছে?",positive,বড় ওঠো চমৎকার মানুষ হিসেবে,5
53,"তুমি পেরেছো, আমি খুশি",positive,পেরেছো খুশি,2
54,আমি খুব খুশি ছিলাম,positive,খুশি ছিলাম,2
55,আমি সবসময় খুশি ছিলাম,positive,সবসময় খুশি ছিলাম,3
56,তুমিই ছিলে আমার সুখ,positive,তুমিই ছিলে সুখ,3
57,"তোমার সাথে থাকাই আমার সব খুশি ছিল
",positive,থাকাই খুশি,2
58, ঠান্ডা লাগছে,negative,ঠান্ডা লাগছে,2
59,আমি সবসময় তোমার পাশে থাকা স্বাচ্ছন্দ্যবোধ করি,positive,সবসময় পাশে স্বাচ্ছন্দ্যবোধ,3
60,মা! খুঁজে পেয়েছি!,positive,খুঁজে পেয়েছি,2
61,সে বৃষ্টির সাথে এসে বৃষ্টির সাথে চলে গেল,positive,বৃষ্টির বৃষ্টির,2
62,"ডাক্তার, তুমি কি সত্যই আমাকে বিশ্বাস কর?",positive,ডাক্তার সত্যই বিশ্বাস কর,4
63,আবারও প্রেমে পড়ে গেলাম,positive,আবারও প্রেমে পড়ে গেলাম,4
64,আমি খুব খুশি ছিলাম,positive,খুশি ছিলাম,2
65,আমি অবাক হই এই পৃথিবীতে কত লোক,positive,অবাক হই পৃথিবীতে লোক,4
66,তারপরে আবার একসাথে ফিরে যেতে পেরেছে?,positive,তারপরে একসাথে পেরেছে,3
67,তোমরা দুজনেই দেখা করার জন্য যথেষ্ট ভাগ্যবান ছিলে,positive,তোমরা দুজনেই ভাগ্যবান ছিলে,4
68,আমি এমন কাউকে পেয়েছি যাকে ছাড়া কিছু ভাবতে পারি না,positive,পেয়েছি ছাড়া ভাবতে,3
69,"আমি আশ্চর্য হবো, যদি আমি প্রেমে পড়ে যাই",positive,আশ্চর্য হবো প্রেমে পড়ে যাই,5
70,আমার মনে হয় যে আমি তার প্রেমে পড়েছি,positive,প্রেমে পড়েছি,2
71,আমি কেবল তার পাশে বসে খুশি,positive,কেবল পাশে খুশি,3
72,এটি আমাকে সুখী করার পক্ষে যথেষ্ট,positive,সুখী,1
73,আমি তোমাকে জানতে চাই,positive,চাই,1
74,তুমি কোন বই পড়ছো?,positive,বই পড়ছো,2
75,তুমি কি ধরনের গান পছন্দ করো?,positive,ধরনের গান পছন্দ,3
76,তোমার প্রিয় রং কি কি?,positive,প্রিয় রং,2
77,তুমি কি ধরনের মেয়েদের পছন্দ করো?,positive,ধরনের মেয়েদের পছন্দ,3
78,আমি তাকে ফোন করতে পারলাম এটি ফিরিয়ে দিতে,positive,ফোন পারলাম ফিরিয়ে,3
79,আমি তাকে ফোন করব,positive,ফোন করব,2
80,আমি সাহস পাইনি,negative,সাহস পাইনি,2
81,আমি তোমার মূল্যবান কলম সম্পর্কে দুঃখিত,negative,মূল্যবান কলম সম্পর্কে দুঃখিত,4
82,এই কলম আনন্দ এনে দিয়েছে,positive,কলম আনন্দ এনে দিয়েছে,4
83,"অনেকদিন হয়ে গেল, তুমি কেমন আছো?",positive,অনেকদিন কেমন আছো,3
84,তোমার কাছে এক কাপ কফি খাওয়ার জন্য সময় আছে?,positive,এক কাপ কফি খাওয়ার সময়,5
85,আমি কথা বলতে পারছিলাম না,negative,পারছিলাম,1
86,তবে আমি খুব খুশি ছিলাম,positive,খুশি ছিলাম,2
87,আমি আশা করি এটি যেন চিরকাল স্থায়ী হয়,positive,আশা চিরকাল স্থায়ী,3
88,"তবে বসন্তে, তুমি আমাকে একটি চিঠি লিখেছিলে",positive,বসন্তে চিঠি লিখেছিলে,3
89,আমরা উভয়ই বিবাহিত থাকতে পারি আলাদাভাবে,positive,উভয়ই বিবাহিত থাকতে আলাদাভাবে,4
90,আমি আশা করি তুমি খুশি থাকবে,positive,আশা খুশি,2
91,কিন্ত আমার একমাত্র সুখ তো তোমার পাশে রয়েছে,positive,কিন্ত একমাত্র সুখ পাশে,4
92,আমি তোমাকে দেখতে চাই,positive,চাই,1
93,আমি সহ্য করতে পারি না,negative,সহ্য,1
94,প্রেমে পড়েছি এবং ভালবেসেছি,positive,প্রেমে পড়েছি ভালবেসেছি,3
95,আমি ভবিষ্যত ভ্রমণ করেছি,positive,ভবিষ্যত ভ্রমণ করেছি,3
96,আমি আনন্দিত ছিলাম,positive,আনন্দিত ছিলাম,2
97,আমি সুখী জীবন যাপন করেছিলাম,positive,সুখী জীবন যাপন করেছিলাম,4
98,তারপর আমি বুঝলাম,positive,বুঝলাম,1
99,আমি মারা যাব,negative,মারা যাব,2
100,আমি প্রতিজ্ঞা করব পরের বর্ষায় ফিরে আসতে,positive,প্রতিজ্ঞা করব পরের বর্ষায় আসতে,5
101,তুমি এবং আমি সর্বদা একসাথে থাকব,positive,সর্বদা একসাথে থাকব,3
102,আপনার রেসিপি পছন্দ হয়েছে,positive,রেসিপি পছন্দ হয়েছে,3
103,তুমি কি আবার লম্বা হয়েছ?,positive,লম্বা হয়েছ,2
104,আমি বৃত্তি পেয়েছি,positive,বৃত্তি পেয়েছি,2
105,সোজাসুজি এদিকেই আসছে।,positive,সোজাসুজি এদিকেই আসছে,3
106,এসব কি করছেন?,negative,এসব,1
107,মুখ বন্ধ রাখুন।,negative,মুখ বন্ধ রাখুন,3
108,প্রত্যেকটা আঘাতের বদলে দ্বিগুন আঘাত ফেরত দেওয়া হবে,negative,প্রত্যেকটা আঘাতের দ্বিগুন আঘাত ফেরত,5
109,মাথা কেটে সবগুলোকে মুক্তি দেওয়া হবে,negative,মাথা কেটে সবগুলোকে মুক্তি,4
110,"রক্ত আমার বয়েছে, আপনার নয়",negative,রক্ত বয়েছে,2
111,যে এই মাটিতে লাল রঙের পতাকা উড়াবে,positive,মাটিতে লাল রঙের পতাকা উড়াবে,5
112,ভয় পেয় না,negative,ভয় পেয়,2
113,গতকাল তিনজনকে হত্যা করা হয়েছে,negative,গতকাল তিনজনকে হত্যা হয়েছে,4
114,আমার কাছে যা ছিল সব ভাগ করে দিয়েছি।,positive,ভাগ দিয়েছি,2
115,মহিলা আর বাচ্চাদের উপরে নির্যাতন করা হয়েছে,negative,মহিলা বাচ্চাদের নির্যাতন হয়েছে,4
116,আশ্রয় পাওয়ার মত তাদের কোন জায়গা নেই,negative,আশ্রয় পাওয়ার মত জায়গা,4
117,"তুমি চিন্তা কর না, একটা সমাধান খুঁজে বের করব",positive,চিন্তা কর সমাধান খুঁজে বের করব,6
118,তাদের খুন করা ছাড়া অন্য কোন পথ নেই,negative,খুন ছাড়া পথ,3
119,"যারা সত্য কথা বলবে, তাদেরই খুন করা হবে।",negative,সত্য বলবে তাদেরই খুন,4
120,চোখে দেখতে পান না?,negative,চোখে পান,2
121,সেটা কিভাবে সম্ভব?,positive,কিভাবে সম্ভব,2
122,তোর বোন মারা যাবে।,negative,তোর বোন মারা,3
123,মা কাঁদছে।,negative,কাঁদছে,1
124,আপনি আসুন।,positive,আসুন,1
125,তাদের কাছে কোন টাকা নেই। হাতে থাকা সবকিছু শেষ হয়ে গেছে।,negative,টাকা হাতে সবকিছু শেষ,4
126,তার বোন মারা গেছে।,negative,বোন মারা,2
127,"স্যার, রোদে বাইরে থাকবেন না, কালো হয়ে যাবেন।",positive,স্যার রোদে বাইরে কালো যাবেন,5
128,তার চাকরি ছেড়ে আরেকটা পেতে কষ্ট হচ্ছে।,negative,চাকরি ছেড়ে আরেকটা পেতে কষ্ট,5
129,আপনার ফোন বাজছে।,positive,ফোন বাজছে,2
130,ওখানে দাঁড়িয়ে আছে,positive,দাঁড়িয়ে,1
131,দূরে গিয়ে সিগারেট খাও,negative,দূরে সিগারেট খাও,3
132,কিন্তু বাস্তব পরিস্থিতিতে সেটা ভিন্ন।,positive,বাস্তব পরিস্থিতিতে ভিন্ন,3
133,আসলে এখানে সবচেয়ে বড় ভুক্তভোগী আমরাই,negative,আসলে সবচেয়ে বড় ভুক্তভোগী আমরাই,5
134,মুখ সামলাও। সম্মান দিয়ে কথা বল।,negative,মুখ সামলাও সম্মান দিয়ে বল,5
135,সেসবের সাথে এর কোন সম্পর্ক নেই।,positive,সেসবের সম্পর্ক,2
136,পুরো শহর রক্তে ভেসে গেছে,negative,পুরো শহর রক্তে ভেসে,4
137,আমরা রক্তের বদলে রক্ত নিব,negative,রক্তের রক্ত নিব,3
138,রক্তের বদলা নিয়ে ছাড়বো,negative,রক্তের বদলা ছাড়বো,3
139,নানারকম স্বাস্থ্য সমস্যা আর তাছাড়া কালকে পা কেটে গেছে,negative,নানারকম স্বাস্থ্য সমস্যা তাছাড়া কালকে পা কেটে,7
140,তাঁকে ছাড়ে দাও। শেষ করে দেবে তোমাকে।,negative,ছাড়ে দাও শেষ দেবে,4
141,"টাকা বের কর, নইলে তুই শেষ!",negative,টাকা বের কর নইলে তুই শেষ,6
142,দিব থাপ্পড়।,negative,দিব থাপ্পড়,2
143,বাজে কথা বলছেন কেন?,negative,বাজে বলছেন,2
144,বাজে কথা বললে তুই কি করবি? জলদি টাকা বের কর!,negative,বাজে বললে তুই করবি জলদি টাকা বের কর,8
145,এই ছোট ব্যাপারে টাকা কেন?,negative,ছোট টাকা,2
146,তোমার মা কোথায়?,positive,কোথায়,1
147,"উনার রক্তে সুগার বেড়ে গেছে, আরো কিছু সমস্যার জন্য হাসপাতালে আছে।",negative,উনার রক্তে সুগার বেড়ে আরো সমস্যার হাসপাতালে,7
148,কেউ কি ফোন করেছিল?,positive,ফোন করেছিল,2
149,তোমার সব বিষয়গুলো জানি আমি।,positive,বিষয়গুলো জানি,2
150,আমরা স্বামী-স্ত্রী এখনো একে অপরকে ভালবাসি,positive,স্বামী স্ত্রী এখনো অপরকে ভালবাসি,5
151,"আমার হিরো, আমার জন্য সে একাই একশ",positive,হিরো একাই একশ,3
152,আমার স্বামী আমার সবচেয়ে প্রিয় মানুষ।,positive,স্বামী সবচেয়ে প্রিয় মানুষ,4
153,"এখানে এসে জানতে পারলাম, এখানকার সবাই কাপুরুষ।",positive,পারলাম এখানকার সবাই কাপুরুষ,4
154,তখন থেকে আমার ভয় করছে।,negative,ভয়,1
155,"তিন-চার দিন আগে, চারজন লোক এসে হুমকি দিয়ে গেছে।",negative,তিন চারজন লোক হুমকি দিয়ে,5
156,আমি আর বাচ্চারা ঘরছাড়া হয়ে যাব,negative,বাচ্চারা ঘরছাড়া যাব,3
157,তুমি চুপ থাকো।,negative,চুপ থাকো,2
158,দেখে নিব তোকে।,negative,নিব তোকে,2
159,এখানে থাকতে হলে অবশ্যই একজন ছেলে বন্ধু লাগবে।,positive,থাকতে অবশ্যই একজন ছেলে বন্ধু লাগবে,6
160,আমাকে আর আমার ছেলেকে মেরে ফেলবে।,negative,ছেলেকে মেরে ফেলবে,3
161,পাগল কে? কাকে পাগল বলছেন?,negative,পাগল কাকে পাগল বলছেন,4
162,বেশি সেয়ানাগিরি করছেন নাকি?,negative,সেয়ানাগিরি,1
163,"তাকে পরিচয় করিয়ে দিয়েন, যাতে কাজের সুযোগ পায়।",positive,পরিচয় করিয়ে দিয়েন কাজের সুযোগ পায়,6
164,"তুমি যাও, আমি তাকে দিয়ে দেব।",positive,যাও দিয়ে দেব,3
165,সব মুভি দেখতে আমাকে ও মেয়েকে নিয়ে যেত।,positive,মুভি মেয়েকে যেত,3
166,মারা যাওয়ার আগে বয়স ৭/৮ বছর ছিল। ছোট্ট অসহায় মেয়ে।,negative,মারা যাওয়ার বয়স ৭ ৮ বছর ছোট্ট অসহায় মেয়ে,9
167,রোগে মারা গিয়েছিল।,negative,রোগে মারা গিয়েছিল,3
168,আওয়াজ শুনে গায়ের লোম খাড়া হয়ে গিয়েছিল,negative,আওয়াজ শুনে গায়ের লোম খাড়া গিয়েছিল,6
169,মেয়েটা আমার পেটের উপরে বসে খেলা করত। পছন্দ করত এভাবে খেলা করতে।,positive,মেয়েটা পেটের খেলা করত পছন্দ করত এভাবে খেলা,8
170,আমি বেঁচে থাকতে সেটা মেনে নেব না।,negative,বেঁচে থাকতে মেনে নেব,4
171,"আমাকে পছন্দ করে না, যাই বলি, আমার সাথে ঝগড়া করে।",negative,পছন্দ যাই বলি ঝগড়া,4
172,বাবা ও বোনের মৃত্যু ওকে অনেক কষ্ট দিয়েছে,negative,বাবা বোনের মৃত্যু কষ্ট দিয়েছে,5
173,"আমি যাই, ওর জন্য ডিনারের ব্যবস্থা করি।",positive,যাই ডিনারের ব্যবস্থা,3
174,একটু টাকা লোভী। এখনই চলে আসবে।,positive,একটু টাকা লোভী এখনই আসবে,5
175,নাম রেখে তিনি মৃত্যুবরণ করেছিলেন,negative,নাম মৃত্যুবরণ,2
176,তুমি এখানে বসে বসে গল্প করছ!,positive,গল্প করছ,2
177,ছোটবেলায় বাবার কাছে শুনেছিলাম।,positive,ছোটবেলায় বাবার শুনেছিলাম,3
178,"লাল, হলুদ নাকি নীল রং এটা কোন বিষয় নয়।",positive,লাল হলুদ নীল রং বিষয়,5
179,"বাজে কথা না বলে, যা।",negative,বাজে,1
180,সে তোমাকে বোন ভাবে,positive,বোন,1
181,পিঠের ব্যাথাটা সারাতে হবে,negative,পিঠের ব্যাথাটা সারাতে,3
182,"যদিও সেই একই বনের পাখি, আর সেই একই মেঘের ঘনঘটা",positive,বনের পাখি মেঘের ঘনঘটা,4
183,"জীবনের চলার পথ, প্রকৃতিতে ঘেরা",positive,জীবনের চলার পথ প্রকৃতিতে ঘেরা,5
184,ওহে চাঁদের আলো রাঙ্গিয়ে দাও এই পথ,positive,ওহে চাঁদের আলো রাঙ্গিয়ে দাও পথ,6
185,এসো আমার নিশীত রজনীর সঙ্গী হয়ে,positive,এসো নিশীত রজনীর সঙ্গী,4
186,ঠিক আছে স্যার।,positive,স্যার,1
187,"তোমরা এখানে অপেক্ষা কর, আমি ভিতরে গিয়ে তোমাদের ডাকব।",positive,তোমরা অপেক্ষা কর ভিতরে তোমাদের ডাকব,6
188,কিছু লোকের ছেলেমেয়েরা অনৈতিকভাবে প্রমোশন পেয়ে যাচ্ছে।,negative,লোকের ছেলেমেয়েরা অনৈতিকভাবে প্রমোশন,4
189,এতোকিছু পাচ্ছো তাতে হচ্ছে না?,negative,এতোকিছু পাচ্ছো,2
190,আপা এই সেই মেয়ে যাকে আমি বিয়ে করব।,positive,আপা মেয়ে বিয়ে করব,4
191,ওহ তাই নাকি! হ্যাঁ ঠিক তাই!,positive,ওহ হ্যাঁ,2
192,আপনার হার্ট খুবই দূর্বল।,negative,হার্ট খুবই দূর্বল,3
193,এসব কি? গিয়ে নিজের চরকায় তেল দাও!,negative,এসব চরকায় তেল দাও,4
194,অবশ্যই সেটা করতে হবে! এটাই আমাদের সুযোগ।,positive,অবশ্যই সুযোগ,2
195, যার সাথে দেখা করতে যাচ্ছ সে তোমাকে ব্যাপক শান্তি দিবে!,positive,যাচ্ছ ব্যাপক শান্তি দিবে,4
196,আর্থিক অবস্থা ভালো নয়। স্বামী মৃত,negative,আর্থিক অবস্থা ভালো স্বামী মৃত,5
197,"আমি কোন মিল খুঁজে পাইনি, সম্ভবত তুই তার মুখের দিকে তাকাসনি।",positive,মিল খুঁজে পাইনি সম্ভবত তুই মুখের তাকাসনি,7
198,দূর হ এখান থেকে।,negative,দূর হ এখান,3
199,"তোমার কোন ক্ষমা নেই, দুর্নীতিবাজ",negative,ক্ষমা দুর্নীতিবাজ,2
200, এখান থেকে সরে পড়।,negative,এখান সরে পড়,3
201,"আমার যদি কিছু হয়ে যায়, কাঁদার জন্য একমাত্র সেই আছে।",negative,কাঁদার একমাত্র,2
202,"এখন ওসব শেষ, পুলিশের এক লোক বাসে একজনকে হত্যা করেছে।",negative,ওসব শেষ পুলিশের এক লোক বাসে একজনকে হত্যা,8
203,তুই কাকে খুন করেছিস?,negative,তুই কাকে খুন করেছিস,4
204,মার ওকে! মেরে ফেল!,negative,মার মেরে ফেল,3
205,তোমাকে লাইট জ্বালাতে বারণ করেছি না?,negative,লাইট জ্বালাতে বারণ করেছি,4
206,"এখন তুমি কারো হাঁচির শব্দে ভয় পাও, বাচ্চারা কান্নাকাটি করে",negative,কারো হাঁচির শব্দে ভয় পাও বাচ্চারা কান্নাকাটি,7
207,এখানে দাঁড়া।,negative,দাঁড়া,1
208,"স্যার, এসবের পিছনে কি কোন রাজনৈতিক উদ্যেশ্য আছে?",positive,স্যার এসবের পিছনে রাজনৈতিক উদ্যেশ্য,5
209,কে বা কারা এর সাথে জড়িত তা বলার মত উপযুক্ত তথ্য নেই।,positive,কারা জড়িত বলার মত উপযুক্ত তথ্য,6
210,"একটা কাজ করবে, যখন আমি বলব, তখন আমাকে একটা কল করবে।",positive,বলব কল,2
211,তুমি যা করেছ তা এক হিসেবে বিশ্বাসঘাতকতা।,negative,করেছ এক হিসেবে বিশ্বাসঘাতকতা,4
212,তাদের রক্ত পানি করে দিচ্ছে।,negative,রক্ত পানি দিচ্ছে,3
213,এখানে থাকাটা নিরাপদ নয়। তারা মেরে ফেলবে।,negative,থাকাটা নিরাপদ মেরে ফেলবে,4
214,আমি শুধু আপনার সাথে কথা বলতে এসেছি,positive,এসেছি,1
215,তারা অনেক কিছু হারিয়ে অভাবগ্রস্থ হয়ে গেছে।,negative,হারিয়ে অভাবগ্রস্থ,2
216,আপনার কাছে ভিক্ষা চাইছি।,negative,ভিক্ষা চাইছি,2
217,তার রেজাল্ট খুব খারাপ ছিল,negative,রেজাল্ট খারাপ,2
218,"যে রোদে পুড়ে, বৃষ্টিতে ভিজে নাইয়ের জমিতে ফসল ফলাত",negative,রোদে পুড়ে বৃষ্টিতে ভিজে নাইয়ের জমিতে ফসল ফলাত,8
219,"সবার খাদ্য সরবারহ করেছি, যতক্ষণ না প্রয়োজন শেষ হয়।",positive,খাদ্য সরবারহ করেছি যতক্ষণ প্রয়োজন শেষ,6
220,ফুটবল খেলা অনেক পছন্দ করি।,positive,ফুটবল খেলা পছন্দ,3
221,"অনেক দিন আগে,আমার সাথে একবার বেয়াদবি করেছ তুমি।",negative,বেয়াদবি করেছ,2
222, সেদিনই তোমাকে শেষ করে দিতে পারতাম,negative,সেদিনই শেষ পারতাম,3
223,"বাম পা অক্ষম, আমি হাঁটতে পারিনা",negative,বাম পা অক্ষম হাঁটতে পারিনা,5
224,সহানুভূতি প্রকাশ করেছি,negative,সহানুভূতি প্রকাশ করেছি,3
225,এটাই তো স্বাভাবিক।,positive,স্বাভাবিক,1
226,আমি কাঁদছি,negative,কাঁদছি,1
227,এর জন্য অনেক ভুগেছি,negative,ভুগেছি,1
228,সবকিছু সহ্য করা কঠিন,negative,সবকিছু সহ্য কঠিন,3
229,আমারিকাতে যাওয়ার কোন ফ্লাইট নেই।,positive,আমারিকাতে যাওয়ার ফ্লাইট,3
230,আগে আমার শরীর থেকে হাত সরাও!,negative,শরীর হাত সরাও,3
231,বল হারামজাদা।,negative,বল হারামজাদা,2
232,মেরে ফেলব কিন্তু।,negative,মেরে ফেলব,2
233,তোর স্বামীকে হত্যা কেন করেছি।,negative,তোর স্বামীকে হত্যা করেছি,4
234,মনে হয় আমাকে জেলে যেতেই হবে।,negative,জেলে যেতেই,2
235,মানসিক সমস্যার প্রেসক্রিপশন? ,negative,মানসিক সমস্যার প্রেসক্রিপশন,3
236,চার বছর আগে মারা গেছে।,negative,বছর মারা,2
237,অতিরিক্ত টেনশনের ফলেই পিঠে ব্যাথা হয়েছে।,negative,অতিরিক্ত টেনশনের ফলেই পিঠে ব্যাথা হয়েছে,6
238,মৃত্যু কেবল জীবনের ধারাবাহিকতা  মাত্র।,negative,মৃত্যু কেবল জীবনের ধারাবাহিকতা,4
239,জীবন অবশ্যই তার নির্ধারিত পথে চলবে,positive,জীবন অবশ্যই নির্ধারিত পথে চলবে,5
240,"সে ঝুলে পড়বে, পুরুষদের ফাঁসি হবে",negative,ঝুলে পড়বে পুরুষদের ফাঁসি,4
241,ওই লোক খুব কষ্টে আছে।,negative,লোক কষ্টে,2
242,"দেখো, তোমার শরীর ভাল না,",negative,দেখো শরীর ভাল,3
243,"নিজের সমস্যার সমাধান কর, যেগুলো তুই নিজে সৃষ্টি করেছিস।",positive,সমস্যার সমাধান কর যেগুলো তুই সৃষ্টি করেছিস,7
244,কেউ ঝামেলা করিস না,negative,ঝামেলা করিস,2
245,ক্ষমা চেয়ে বিদায় হ।,negative,ক্ষমা চেয়ে বিদায় হ,4
246,একজন লোকের একটি মাত্র ছবি আছে । আমার বাসার দেয়ালে অনেক মানুষের ছবি নেই।,positive,একজন লোকের ছবি বাসার দেয়ালে মানুষের ছবি,7
247,জানি আপনি ব্যাথায় ভুগছেন।,negative,জানি ব্যাথায় ভুগছেন,3
248,তোর সমস্যার কী খরব? আমার কোন সমস্যা নেই।,positive,তোর সমস্যার খরব সমস্যা,4
249,"অনেক কিছু করার চেষ্টা করেছি, সফল হতে পারিনি।",positive,করেছি সফল পারিনি,3
250,মনে শান্তি আসবে,positive,শান্তি আসবে,2
251,"কিছু বলার থাকলে বলেন, নয়ত বেরিয়ে যান।",negative,বলার থাকলে নয়ত বেরিয়ে,4
252,পাঁচ বছর বয়সে মা মারা যায়,negative,পাঁচ বছর বয়সে মারা যায়,5
253,"যদি আর এক পা ভেতরে আছিস, পা কেটে ফেলব রক্তপাত করতে চাস?",negative,এক পা ভেতরে আছিস পা কেটে ফেলব রক্তপাত চাস,9
254,"আজেবাজে না বকে, চলে যা এখান থেকে!",negative,আজেবাজে বকে এখান,3
255,বাবা ও চাচার রক্ত ঝড়া দেখেছে সে,negative,বাবা চাচার রক্ত ঝড়া দেখেছে,5
256,তোমাকে না কতবার পুরানো সিনেমা দেখতে নিষেধ করেছি,negative,কতবার পুরানো সিনেমা নিষেধ করেছি,5
257,তুমি আমার কথা শোন না কেন?,negative,শোন,1
258,আমি দেবদাসের মতো একটি বাচ্চা চাই।,positive,দেবদাসের বাচ্চা চাই,3
259,আমি যেটার ভয় করি ঠিক তাই হলো।,negative,যেটার ভয়,2
260,এই পৃথিবীতে যে কেউ নিজের মাথা খাটিয়ে যা খুশি তা অর্জন করতে পারে।,positive,পৃথিবীতে মাথা খাটিয়ে খুশি অর্জন,5
261,আর সেটা কারো লালন পালন করে পৃথকভাবে স্বপ্ন দেখার কারণেও হতে পারে।,positive,কারো লালন পালন পৃথকভাবে স্বপ্ন দেখার কারণেও,7
262,আমি দেবদাসের মতো এমন একটি ছেলের জন্ম দিতে চাই যে মহান প্রেমিক হবে!,positive,দেবদাসের ছেলের জন্ম চাই মহান প্রেমিক,6
263,হায় খোদা! এ তো চোখই খুলে নি! কি যে হলো?,negative,হায় খোদা চোখই খুলে নি,5
264,কে এই শিশুটিকে বাচাবে!,negative,শিশুটিকে বাচাবে,2
265,এই পোলাডাটা তো টেন্ডুলকারের শক্ত ক্রিকেট ব্যাটের মতো দেখতে,positive,পোলাডাটা টেন্ডুলকারের শক্ত ক্রিকেট ব্যাটের,5
266,তাঁর জন্ম থেকেই আমি তাকে দেখছি।,positive,জন্ম দেখছি,2
